[2026-04-30 18:16:32] [INFO    ] discord.client: logging in using static token
[2026-04-30 18:16:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-04-30 18:16:32] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-04-30 18:16:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1499245698737111050', 'username': 'Oochie', 'avatar': None, 'discriminator': '8156', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-04-30 18:16:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-04-30 18:16:32] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-04-30 18:16:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1499245698737111050', 'name': 'Oochie', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1499245698737111050', 'username': 'Oochie', 'avatar': None, 'discriminator': '8156', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7ef0e2eecabccc0686a7d022e717cf35f04b5c36e7c6501833380588c539e3a9', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '268546809910132737', 'username': 'narwhalez', 'avatar': '355c1e38b256e6588435fc4e78ed406b', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 16777215, 'global_name': 'Don Dinkle D Twinkle', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#ffffff', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-04-30 18:16:32] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-04-30 18:16:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-0cq6",{"micros":0.0}]']}}
[2026-04-30 18:16:32] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-04-30 18:16:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-30 18:16:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Oochie', 'primary_guild': None, 'mfa_enabled': False, 'id': '1499245698737111050', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8156', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '6d27e93945fa7fc145c8601ce0b5ba7e', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1219116771189985290'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1499245698737111050', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-0cq6",{"micros":286960,"calls":["id_created",{"micros":1073,"calls":[]},"session_lookup_time",{"micros":283,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"sessions-prd-gcp-us-east1-b-149",{"micros":284444,"calls":["start_session",{"micros":250182,"calls":["prd-rpc-78bc9cf66b-wlvmn",{"micros":55013,"calls":["get_user",{"micros":5945},"get_guilds",{"micros":2268},"send_scheduled_deletion_message",{"micros":9},"guild_join_requests",{"micros":351},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":1801},"apex_experiments",{"micros":183507},"sessions_experiments",{"micros":15},"played_application_ids",{"micros":5},"linked_users",{"micros":7},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":37,"calls":[]},"presence_started",{"micros":335,"calls":[]},"guilds_started",{"micros":70,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":33787,"calls":[]},"connect_finished",{"micros":33802,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-04-30 18:16:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-30 18:16:33] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 6d27e93945fa7fc145c8601ce0b5ba7e).
[2026-04-30 18:16:33] [DEBUG   ] discord.client: Dispatching event connect
